id,fakultas,pekerjaan_ayah,pekerjaan_ibu,pendapatan_class,penghasilan_ayah,penghasilan_ibu,kepemilikan_rumah,koreksi_pengeluaran_mhs_iuran_sekolah,kendaraan,listrik,keberadaan_orangtua,pajak,ukt
3123,8,0,3,1,0,1500000,3,300000,3,2,1.0,176000.0,3
1224,4,6,1,8,5799850,0,4,0,3,2,2.0,357000.0,7
3916,3,2,9,6,800000,4919800,4,0,4,3,2.0,159000.0,6
2049,4,5,1,2,1500000,0,3,200000,3,2,2.0,0.0,4
4471,10,5,1,3,2000000,0,1,300000,3,3,2.0,150000.0,3
3019,1,5,9,8,10000000,7000000,5,0,6,2,2.0,3150000.0,6
4201,4,2,2,4,1500000,200000,2,0,4,1,2.0,0.0,3
3561,10,6,5,1,1680000,0,1,200000,3,3,2.0,136500.0,3
4956,4,1,1,2,1000000,0,1,225000,4,2,2.0,0.0,2
4169,4,1,1,3,2000000,0,1,275000,3,2,2.0,363000.0,3
4885,8,2,1,1,1500000,0,1,150000,4,1,2.0,0.0,2
513,8,1,1,1,2000000,0,1,150000,3,2,2.0,0.0,4
4234,4,2,1,2,2500000,0,1,0,3,3,2.0,198500.0,2
3597,9,1,1,1,1500000,0,2,0,3,2,2.0,200000.0,3
2166,4,9,9,8,4699300,4325600,2,150000,4,2,2.0,200000.0,6
